condition,inputs,target,context distance,results,coded response,ce loss
NO_MATCH_NO_FOIL,"(array([0., 0., 1., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([ 0.62141293, -0.08466997, -0.10186024,  0.02984398,  0.18370458,
        0.21936788,  0.03569903, -0.10203999,  0.04007674,  0.1401242 ,
        0.25601391,  0.04645682,  0.24553739,  0.09170377,  0.06863113,
        0.06905436,  0.25408411, -0.01700883, -0.03719892,  0.03296163,
        0.5013593 , -0.19621912,  0.20287551,  0.48088576,  0.30215631]), array([ 0.76468013, -0.00581125, -0.00908644,  0.02388115,  0.07120194,
        0.09717693,  0.04236026, -0.00431722,  0.04531795,  0.08701349,
        0.15137946,  0.06949432,  0.17820258,  0.11208745,  0.10512786,
        0.11050887,  0.24263176,  0.07613207,  0.06354245,  0.11324279,
        0.5197573 , -0.02225627,  0.32082233,  0.64549001,  0.07923388]))","[0, 1]",0.0792625161540933,"[array([-1.63837519,  1.66597804])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0361
NO_MATCH_WITH_FOIL,"(array([0., 0., 1., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([ 0.62141293, -0.08466997, -0.10186024,  0.02984398,  0.18370458,
        0.21936788,  0.03569903, -0.10203999,  0.04007674,  0.1401242 ,
        0.25601391,  0.04645682,  0.24553739,  0.09170377,  0.06863113,
        0.06905436,  0.25408411, -0.01700883, -0.03719892,  0.03296163,
        0.5013593 , -0.19621912,  0.20287551,  0.48088576,  0.30215631]), array([ 0.69652626, -0.03102307, -0.03909652,  0.03546637,  0.13008622,
        0.16467435,  0.05161988, -0.03691599,  0.05508904,  0.12426721,
        0.21604144,  0.07250928,  0.22775973,  0.11732939,  0.10164925,
        0.10399734,  0.26501683,  0.04144358,  0.02442709,  0.08446382,
        0.52548292, -0.10261534,  0.26986912,  0.56601561,  0.17730999]))","[0, 1]",0.025729736483430576,"[array([-1.65126779,  1.67847872])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.0352
MATCH_NO_FOIL,"(array([0., 0., 0., 1., 0., 0., 0., 0.]), array([0., 0., 0., 1., 0., 0., 0., 0.]), array([ 3.62123324e-01, -2.10070659e-01, -2.72964687e-01, -1.00894193e-01,
        1.01411603e-01,  1.13254740e-01, -1.12815481e-01, -3.03577621e-01,
       -1.29216565e-01,  1.26419392e-04,  1.21888594e-01, -1.36434386e-01,
        8.16210453e-02, -9.57482197e-02, -1.23384249e-01, -1.25581857e-01,
        6.49384342e-02, -2.30098793e-01, -2.67599455e-01, -1.96010343e-01,
        2.87645181e-01, -4.95977247e-01, -6.51021155e-02,  2.00300547e-01,
        3.25433947e-01]), array([ 0.54009065, -0.15579491, -0.18768815, -0.00456704,  0.20082307,
        0.22991266, -0.01038777, -0.18999213, -0.00668642,  0.11958172,
        0.25094265, -0.00909374,  0.22054308,  0.03666165,  0.00946948,
        0.00944434,  0.20974272, -0.09107816, -0.11442475, -0.03689576,
        0.44962313, -0.29742426,  0.12251234,  0.39095107,  0.39787971]))","[1, 0]",0.18991719424458942,"[array([ 1.17049092, -1.16082832])]","('match', 'MATCH_NO_FOIL')",0.0927
MATCH_WITH_FOIL,"(array([0., 0., 0., 1., 0., 0., 0., 0.]), array([0., 0., 0., 1., 0., 0., 0., 0.]), array([ 3.62123324e-01, -2.10070659e-01, -2.72964687e-01, -1.00894193e-01,
        1.01411603e-01,  1.13254740e-01, -1.12815481e-01, -3.03577621e-01,
       -1.29216565e-01,  1.26419392e-04,  1.21888594e-01, -1.36434386e-01,
        8.16210453e-02, -9.57482197e-02, -1.23384249e-01, -1.25581857e-01,
        6.49384342e-02, -2.30098793e-01, -2.67599455e-01, -1.96010343e-01,
        2.87645181e-01, -4.95977247e-01, -6.51021155e-02,  2.00300547e-01,
        3.25433947e-01]), array([ 0.45337196, -0.2087804 , -0.25858192, -0.05798547,  0.16739401,
        0.18698944, -0.0698089 , -0.26930861, -0.07250149,  0.06560163,
        0.19952162, -0.07845097,  0.15888512, -0.03312837, -0.06128634,
       -0.06154211,  0.14139368, -0.16720476, -0.19575008, -0.11681824,
        0.37573917, -0.3996573 ,  0.03198343,  0.29711012,  0.40776374]))","[1, 0]",0.05163566822005283,"[array([ 1.21256223, -1.20122452])]","('match', 'MATCH_WITH_FOIL')",0.0857
NO_MATCH_NO_FOIL,"(array([0., 0., 0., 1., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([ 3.62123324e-01, -2.10070659e-01, -2.72964687e-01, -1.00894193e-01,
        1.01411603e-01,  1.13254740e-01, -1.12815481e-01, -3.03577621e-01,
       -1.29216565e-01,  1.26419392e-04,  1.21888594e-01, -1.36434386e-01,
        8.16210453e-02, -9.57482197e-02, -1.23384249e-01, -1.25581857e-01,
        6.49384342e-02, -2.30098793e-01, -2.67599455e-01, -1.96010343e-01,
        2.87645181e-01, -4.95977247e-01, -6.51021155e-02,  2.00300547e-01,
        3.25433947e-01]), array([ 0.54009065, -0.15579491, -0.18768815, -0.00456704,  0.20082307,
        0.22991266, -0.01038777, -0.18999213, -0.00668642,  0.11958172,
        0.25094265, -0.00909374,  0.22054308,  0.03666165,  0.00946948,
        0.00944434,  0.20974272, -0.09107816, -0.11442475, -0.03689576,
        0.44962313, -0.29742426,  0.12251234,  0.39095107,  0.39787971]))","[0, 1]",0.18991719424458942,"[array([-1.62197572,  1.67308919])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0364
NO_MATCH_WITH_FOIL,"(array([0., 0., 0., 1., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([ 3.62123324e-01, -2.10070659e-01, -2.72964687e-01, -1.00894193e-01,
        1.01411603e-01,  1.13254740e-01, -1.12815481e-01, -3.03577621e-01,
       -1.29216565e-01,  1.26419392e-04,  1.21888594e-01, -1.36434386e-01,
        8.16210453e-02, -9.57482197e-02, -1.23384249e-01, -1.25581857e-01,
        6.49384342e-02, -2.30098793e-01, -2.67599455e-01, -1.96010343e-01,
        2.87645181e-01, -4.95977247e-01, -6.51021155e-02,  2.00300547e-01,
        3.25433947e-01]), array([ 0.45337196, -0.2087804 , -0.25858192, -0.05798547,  0.16739401,
        0.18698944, -0.0698089 , -0.26930861, -0.07250149,  0.06560163,
        0.19952162, -0.07845097,  0.15888512, -0.03312837, -0.06128634,
       -0.06154211,  0.14139368, -0.16720476, -0.19575008, -0.11681824,
        0.37573917, -0.3996573 ,  0.03198343,  0.29711012,  0.40776374]))","[0, 1]",0.05163566822005283,"[array([-1.58747803,  1.63978187])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.0389
MATCH_NO_FOIL,"(array([0., 0., 0., 0., 1., 0., 0., 0.]), array([0., 0., 0., 0., 1., 0., 0., 0.]), array([ 0.07048632, -0.0399565 , -0.06760486, -0.04773005, -0.00918781,
       -0.00738853, -0.05622754, -0.12360781, -0.09413939, -0.05946547,
       -0.02114791, -0.11430392, -0.04078548, -0.11308388, -0.13835327,
       -0.15650678, -0.06945915, -0.24716098, -0.32501401, -0.32667307,
        0.03030672, -0.68692083, -0.35661677, -0.09817692,  0.03349024]), array([ 0.26725647, -0.16035314, -0.22279484, -0.10891574,  0.03813574,
        0.04512332, -0.11945118, -0.27702706, -0.15167807, -0.0495759 ,
        0.04759414, -0.16230682,  0.01385017, -0.13243149, -0.15958196,
       -0.16637433, -0.00266014, -0.26719784, -0.31755653, -0.26318836,
        0.19464734, -0.57967366, -0.16487381,  0.10148964,  0.20107093]))","[1, 0]",0.13445073447264366,"[array([ 1.36733159, -1.46590141])]","('match', 'MATCH_NO_FOIL')",0.0572
MATCH_WITH_FOIL,"(array([0., 0., 0., 0., 1., 0., 0., 0.]), array([0., 0., 0., 0., 1., 0., 0., 0.]), array([ 0.07048632, -0.0399565 , -0.06760486, -0.04773005, -0.00918781,
       -0.00738853, -0.05622754, -0.12360781, -0.09413939, -0.05946547,
       -0.02114791, -0.11430392, -0.04078548, -0.11308388, -0.13835327,
       -0.15650678, -0.06945915, -0.24716098, -0.32501401, -0.32667307,
        0.03030672, -0.68692083, -0.35661677, -0.09817692,  0.03349024]), array([ 0.16971928, -0.0926357 , -0.14041076, -0.08389945,  0.00133491,
        0.00525155, -0.09372491, -0.20562728, -0.13476859, -0.06825198,
       -0.00159688, -0.15108877, -0.02771603, -0.1361042 , -0.16286975,
       -0.17584235, -0.04895833, -0.27231174, -0.33739312, -0.30875843,
        0.10613445, -0.64484721, -0.26335406,  0.00166467,  0.09492143]))","[1, 0]",0.031530442235997436,"[array([ 1.40686099, -1.5031745 ])]","('match', 'MATCH_WITH_FOIL')",0.0530
NO_MATCH_NO_FOIL,"(array([0., 0., 0., 0., 1., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([ 0.07048632, -0.0399565 , -0.06760486, -0.04773005, -0.00918781,
       -0.00738853, -0.05622754, -0.12360781, -0.09413939, -0.05946547,
       -0.02114791, -0.11430392, -0.04078548, -0.11308388, -0.13835327,
       -0.15650678, -0.06945915, -0.24716098, -0.32501401, -0.32667307,
        0.03030672, -0.68692083, -0.35661677, -0.09817692,  0.03349024]), array([ 0.26725647, -0.16035314, -0.22279484, -0.10891574,  0.03813574,
        0.04512332, -0.11945118, -0.27702706, -0.15167807, -0.0495759 ,
        0.04759414, -0.16230682,  0.01385017, -0.13243149, -0.15958196,
       -0.16637433, -0.00266014, -0.26719784, -0.31755653, -0.26318836,
        0.19464734, -0.57967366, -0.16487381,  0.10148964,  0.20107093]))","[0, 1]",0.13445073447264366,"[array([-1.47854878,  1.46413738])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0514
NO_MATCH_WITH_FOIL,"(array([0., 0., 0., 0., 1., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([ 0.07048632, -0.0399565 , -0.06760486, -0.04773005, -0.00918781,
       -0.00738853, -0.05622754, -0.12360781, -0.09413939, -0.05946547,
       -0.02114791, -0.11430392, -0.04078548, -0.11308388, -0.13835327,
       -0.15650678, -0.06945915, -0.24716098, -0.32501401, -0.32667307,
        0.03030672, -0.68692083, -0.35661677, -0.09817692,  0.03349024]), array([ 0.16971928, -0.0926357 , -0.14041076, -0.08389945,  0.00133491,
        0.00525155, -0.09372491, -0.20562728, -0.13476859, -0.06825198,
       -0.00159688, -0.15108877, -0.02771603, -0.1361042 , -0.16286975,
       -0.17584235, -0.04895833, -0.27231174, -0.33739312, -0.30875843,
        0.10613445, -0.64484721, -0.26335406,  0.00166467,  0.09492143]))","[0, 1]",0.031530442235997436,"[array([-1.44486841,  1.43269099])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.0547
MATCH_NO_FOIL,"(array([0., 0., 0., 0., 0., 1., 0., 0.]), array([0., 0., 0., 0., 0., 1., 0., 0.]), array([-2.27447022e-01, -3.89716583e-04, -1.13354202e-03, -1.27027997e-03,
       -7.28588164e-04, -7.47835170e-04, -2.18176517e-03, -6.30562012e-03,
       -7.34955064e-03, -6.93019782e-03, -5.25808640e-03, -1.41413386e-02,
       -9.97020614e-03, -2.02306652e-02, -2.98343483e-02, -4.22315454e-02,
       -3.29491433e-02, -9.05992587e-02, -1.60683619e-01, -2.23932189e-01,
       -7.65855475e-02, -6.55858292e-01, -5.69833998e-01, -3.87884537e-01,
        1.63661004e-04]), array([-0.02945093, -0.01253744, -0.02435604, -0.02004403, -0.0068641 ,
       -0.00630862, -0.02578268, -0.05940253, -0.05200705, -0.03828705,
       -0.02041582, -0.07080841, -0.0344999 , -0.07770013, -0.09925397,
       -0.11915959, -0.06768892, -0.20032635, -0.28476367, -0.31555439,
       -0.02688873, -0.70303618, -0.44094386, -0.19703756,  0.00853293]))","[1, 0]",0.07746430912979452,"[array([ 1.36204267, -1.45656963])]","('match', 'MATCH_NO_FOIL')",0.0580
MATCH_WITH_FOIL,"(array([0., 0., 0., 0., 0., 1., 0., 0.]), array([0., 0., 0., 0., 0., 1., 0., 0.]), array([-2.27447022e-01, -3.89716583e-04, -1.13354202e-03, -1.27027997e-03,
       -7.28588164e-04, -7.47835170e-04, -2.18176517e-03, -6.30562012e-03,
       -7.34955064e-03, -6.93019782e-03, -5.25808640e-03, -1.41413386e-02,
       -9.97020614e-03, -2.02306652e-02, -2.98343483e-02, -4.22315454e-02,
       -3.29491433e-02, -9.05992587e-02, -1.60683619e-01, -2.23932189e-01,
       -7.65855475e-02, -6.55858292e-01, -5.69833998e-01, -3.87884537e-01,
        1.63661004e-04]), array([-0.12909391, -0.00274164, -0.00634633, -0.00607576, -0.00281942,
       -0.00274893, -0.00885203, -0.02230414, -0.02244619, -0.0187736 ,
       -0.0123173 , -0.03557918, -0.02130267, -0.04406808, -0.05989753,
       -0.07743055, -0.05231399, -0.14411502, -0.22604165, -0.27884001,
       -0.06245656, -0.69229997, -0.51297347, -0.29392947,  0.00148917]))","[1, 0]",0.01816798298587574,"[array([ 1.36254957, -1.45701956])]","('match', 'MATCH_WITH_FOIL')",0.0579
NO_MATCH_NO_FOIL,"(array([0., 0., 0., 0., 0., 1., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([-2.27447022e-01, -3.89716583e-04, -1.13354202e-03, -1.27027997e-03,
       -7.28588164e-04, -7.47835170e-04, -2.18176517e-03, -6.30562012e-03,
       -7.34955064e-03, -6.93019782e-03, -5.25808640e-03, -1.41413386e-02,
       -9.97020614e-03, -2.02306652e-02, -2.98343483e-02, -4.22315454e-02,
       -3.29491433e-02, -9.05992587e-02, -1.60683619e-01, -2.23932189e-01,
       -7.65855475e-02, -6.55858292e-01, -5.69833998e-01, -3.87884537e-01,
        1.63661004e-04]), array([-0.02945093, -0.01253744, -0.02435604, -0.02004403, -0.0068641 ,
       -0.00630862, -0.02578268, -0.05940253, -0.05200705, -0.03828705,
       -0.02041582, -0.07080841, -0.0344999 , -0.07770013, -0.09925397,
       -0.11915959, -0.06768892, -0.20032635, -0.28476367, -0.31555439,
       -0.02688873, -0.70303618, -0.44094386, -0.19703756,  0.00853293]))","[0, 1]",0.07746430912979452,"[array([-1.49975131,  1.50816657])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0482
